epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,642.615,0.39825,0.3822,0.80542,0.9999,0.99502,0.995,0.98508,0.22319,0.26528,0.76589,0.0011684,0.0011684,0.0011684
44,657.193,0.35289,0.35653,0.8052,0.99991,0.99502,0.995,0.98711,0.20934,0.27124,0.76709,0.0011486,0.0011486,0.0011486
45,671.595,0.34047,0.35321,0.80002,0.99989,0.99502,0.995,0.9859,0.21409,0.29085,0.76816,0.0011288,0.0011288,0.0011288
46,686.002,0.32711,0.35252,0.81006,0.99991,0.99502,0.995,0.98852,0.20853,0.26565,0.765,0.001109,0.001109,0.001109
47,700.598,0.33675,0.34458,0.80086,0.99992,0.99502,0.995,0.98449,0.22221,0.26518,0.76635,0.0010892,0.0010892,0.0010892
48,714.9,0.33025,0.33096,0.79927,0.99992,0.99502,0.995,0.98745,0.21259,0.26143,0.76747,0.0010694,0.0010694,0.0010694
49,729.391,0.32594,0.34609,0.80432,0.99992,0.99502,0.995,0.98625,0.20901,0.26052,0.76685,0.0010496,0.0010496,0.0010496
50,743.709,0.33143,0.35133,0.80158,0.99989,0.99502,0.995,0.98788,0.21123,0.25974,0.7654,0.0010298,0.0010298,0.0010298
51,759.73,0.3271,0.33155,0.80133,0.99988,0.99502,0.995,0.98793,0.21179,0.23907,0.76475,0.00101,0.00101,0.00101
52,775.615,0.32551,0.34369,0.80288,0.99987,0.99502,0.995,0.99044,0.20871,0.26286,0.76646,0.0009902,0.0009902,0.0009902
53,790.737,0.32597,0.33075,0.80061,0.99988,0.99502,0.995,0.9898,0.19869,0.25877,0.76589,0.0009704,0.0009704,0.0009704
54,805.924,0.32203,0.32982,0.8011,0.9999,0.99502,0.995,0.98905,0.21342,0.24894,0.76326,0.0009506,0.0009506,0.0009506
55,820.773,0.33276,0.33387,0.79747,0.9999,0.99502,0.995,0.99,0.21117,0.23626,0.76407,0.0009308,0.0009308,0.0009308
56,836.525,0.33059,0.33609,0.79872,0.99989,0.99502,0.995,0.98671,0.22976,0.2622,0.7656,0.000911,0.000911,0.000911
57,852.774,0.33042,0.32449,0.79978,0.99973,0.99502,0.995,0.98792,0.21107,0.24886,0.76408,0.0008912,0.0008912,0.0008912
58,867.98,0.31734,0.32205,0.80077,0.99982,0.99502,0.995,0.98479,0.22449,0.23888,0.76298,0.0008714,0.0008714,0.0008714
59,882.507,0.3047,0.31454,0.79653,0.99991,0.99502,0.995,0.99047,0.19739,0.22266,0.76361,0.0008516,0.0008516,0.0008516
60,897.47,0.32476,0.32352,0.79799,0.99992,0.99502,0.995,0.9874,0.22453,0.25531,0.76355,0.0008318,0.0008318,0.0008318
61,911.701,0.3347,0.32308,0.79946,0.99992,0.99502,0.995,0.98782,0.20451,0.2531,0.76381,0.000812,0.000812,0.000812
62,926.468,0.33714,0.32648,0.79945,0.99992,0.99502,0.995,0.98741,0.21084,0.23516,0.76421,0.0007922,0.0007922,0.0007922
63,941.133,0.32153,0.31173,0.79944,0.99991,0.99502,0.995,0.98901,0.21094,0.2257,0.76429,0.0007724,0.0007724,0.0007724
64,957.021,0.32196,0.31214,0.79959,0.9999,0.99502,0.995,0.987,0.22701,0.23092,0.76345,0.0007526,0.0007526,0.0007526
65,972.549,0.30565,0.31266,0.8007,0.99981,0.99502,0.995,0.99238,0.18959,0.22542,0.76139,0.0007328,0.0007328,0.0007328
66,987.525,0.30543,0.32031,0.7964,0.99989,0.99502,0.995,0.9921,0.19591,0.22851,0.7614,0.000713,0.000713,0.000713
67,1002.63,0.29941,0.30592,0.79678,0.99992,0.99502,0.995,0.99063,0.18035,0.2065,0.76046,0.0006932,0.0006932,0.0006932
68,1017.83,0.29283,0.29325,0.79669,0.99991,0.99502,0.995,0.99185,0.18517,0.20686,0.76063,0.0006734,0.0006734,0.0006734
69,1032.89,0.29135,0.30321,0.79538,0.9999,0.99502,0.995,0.99166,0.18569,0.21064,0.76106,0.0006536,0.0006536,0.0006536
70,1047,0.30048,0.30311,0.79799,0.99987,0.99502,0.995,0.99064,0.18213,0.21493,0.76095,0.0006338,0.0006338,0.0006338
71,1061.51,0.28498,0.29951,0.7976,0.99983,0.99502,0.995,0.99076,0.19197,0.21977,0.761,0.000614,0.000614,0.000614
72,1076.05,0.28529,0.29706,0.79611,0.99988,0.99502,0.995,0.99205,0.18721,0.21099,0.76111,0.0005942,0.0005942,0.0005942
73,1090.63,0.28529,0.29107,0.79322,0.99991,0.99502,0.995,0.98933,0.19676,0.21513,0.76009,0.0005744,0.0005744,0.0005744
74,1104.96,0.2814,0.2906,0.79643,0.99991,0.99502,0.995,0.99074,0.19092,0.2147,0.76025,0.0005546,0.0005546,0.0005546
75,1119.35,0.28859,0.29133,0.79548,0.99992,0.99502,0.995,0.99215,0.17959,0.21121,0.76026,0.0005348,0.0005348,0.0005348
