epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,315.269,0.24548,0.30485,0.79842,0.9997,0.99502,0.995,0.99228,0.19862,0.26871,0.7563,0.0011684,0.0011684,0.0011684
44,322.702,0.27194,0.30532,0.79565,0.99976,0.99502,0.995,0.99298,0.18842,0.27397,0.75398,0.0011486,0.0011486,0.0011486
45,330.956,0.24848,0.30351,0.79292,0.99961,0.99502,0.995,0.99307,0.20053,0.29001,0.75605,0.0011288,0.0011288,0.0011288
46,338.88,0.24926,0.30217,0.7919,0.99982,0.99502,0.995,0.99247,0.18502,0.26894,0.75715,0.001109,0.001109,0.001109
47,346.389,0.24847,0.29848,0.79266,0.99988,0.99502,0.995,0.99305,0.19327,0.25291,0.75658,0.0010892,0.0010892,0.0010892
48,354.365,0.24891,0.29968,0.78997,0.99987,0.99502,0.995,0.99403,0.18671,0.24122,0.75497,0.0010694,0.0010694,0.0010694
49,362.107,0.22664,0.28315,0.78726,0.9998,0.99502,0.995,0.99421,0.15901,0.23387,0.75381,0.0010496,0.0010496,0.0010496
50,369.396,0.22732,0.28026,0.794,0.99978,0.99502,0.995,0.99393,0.16019,0.23294,0.75444,0.0010298,0.0010298,0.0010298
51,376.502,0.24141,0.28136,0.78693,0.99974,0.99502,0.995,0.99422,0.16284,0.23843,0.75455,0.00101,0.00101,0.00101
52,384.669,0.22987,0.28094,0.78823,0.99852,0.99502,0.995,0.99283,0.17213,0.24697,0.75426,0.0009902,0.0009902,0.0009902
53,392.384,0.22541,0.27903,0.79649,0.99837,0.99502,0.995,0.99419,0.15931,0.24783,0.7543,0.0009704,0.0009704,0.0009704
54,400.33,0.22531,0.2832,0.79277,0.99937,0.99502,0.995,0.99292,0.15707,0.23172,0.75443,0.0009506,0.0009506,0.0009506
55,408.193,0.22473,0.26523,0.79202,0.99957,0.99502,0.995,0.99403,0.15518,0.23053,0.75225,0.0009308,0.0009308,0.0009308
56,416.616,0.2258,0.27115,0.79304,0.99965,0.99502,0.995,0.99405,0.1766,0.23222,0.7549,0.000911,0.000911,0.000911
57,424.23,0.23927,0.27564,0.7888,0.99968,0.99502,0.995,0.99404,0.15197,0.2204,0.75238,0.0008912,0.0008912,0.0008912
58,432.051,0.22568,0.26073,0.78475,0.99981,0.99502,0.995,0.99293,0.15818,0.22725,0.75371,0.0008714,0.0008714,0.0008714
59,439.968,0.22204,0.26834,0.78747,0.99981,0.99502,0.995,0.99391,0.14778,0.22536,0.75269,0.0008516,0.0008516,0.0008516
60,447.994,0.23025,0.26927,0.79169,0.99969,0.99502,0.995,0.99414,0.15325,0.22636,0.75263,0.0008318,0.0008318,0.0008318
61,455.449,0.21141,0.26562,0.79,0.99987,0.99502,0.995,0.99401,0.14568,0.21865,0.75282,0.000812,0.000812,0.000812
62,462.408,0.20758,0.26076,0.78542,0.99987,0.99502,0.995,0.99418,0.1435,0.20953,0.75227,0.0007922,0.0007922,0.0007922
63,470.464,0.20863,0.25946,0.78786,0.99988,0.99502,0.995,0.99432,0.14413,0.21346,0.75148,0.0007724,0.0007724,0.0007724
64,478.14,0.21627,0.25453,0.79587,0.99985,0.99502,0.995,0.99404,0.1454,0.20887,0.75175,0.0007526,0.0007526,0.0007526
65,486.105,0.21634,0.25477,0.78968,0.99976,0.99502,0.995,0.99403,0.14691,0.22337,0.75111,0.0007328,0.0007328,0.0007328
66,493.278,0.21204,0.25428,0.79073,0.99977,0.99502,0.995,0.99421,0.14455,0.2194,0.75098,0.000713,0.000713,0.000713
67,500.901,0.2217,0.25881,0.78459,0.99971,0.99502,0.995,0.99408,0.17074,0.23358,0.7531,0.0006932,0.0006932,0.0006932
68,508.538,0.21597,0.24885,0.78845,0.99979,0.99502,0.995,0.99425,0.14431,0.20611,0.75217,0.0006734,0.0006734,0.0006734
69,516.113,0.21214,0.2521,0.78788,0.99985,0.99502,0.995,0.99412,0.1503,0.21006,0.75181,0.0006536,0.0006536,0.0006536
70,523.668,0.21812,0.2522,0.78982,0.99988,0.99502,0.995,0.99433,0.14413,0.21261,0.75134,0.0006338,0.0006338,0.0006338
71,531.806,0.20832,0.25673,0.78539,0.99988,0.99502,0.995,0.99434,0.14955,0.21826,0.75035,0.000614,0.000614,0.000614
72,540.034,0.2113,0.24797,0.78635,0.9999,0.99502,0.995,0.99413,0.15053,0.21079,0.75029,0.0005942,0.0005942,0.0005942
73,547.774,0.20819,0.24227,0.78687,0.99988,0.99502,0.995,0.9942,0.13694,0.20055,0.74909,0.0005744,0.0005744,0.0005744
74,554.621,0.20885,0.23924,0.78561,0.99991,0.99502,0.995,0.99415,0.14322,0.20409,0.74965,0.0005546,0.0005546,0.0005546
75,562.839,0.18999,0.2324,0.78903,0.99992,0.99502,0.995,0.9942,0.13645,0.20267,0.74908,0.0005348,0.0005348,0.0005348
76,570.452,0.2029,0.24396,0.7839,0.99993,0.99502,0.995,0.99446,0.14635,0.1942,0.74976,0.000515,0.000515,0.000515
77,577.879,0.20279,0.23374,0.78314,0.99992,0.99502,0.995,0.99411,0.14102,0.19126,0.7489,0.0004952,0.0004952,0.0004952
78,585.586,0.20648,0.24228,0.7913,0.9999,0.99502,0.995,0.99434,0.14046,0.19312,0.74974,0.0004754,0.0004754,0.0004754
