epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,346.312,0.2081,0.21448,0.79167,0.99991,0.99502,0.995,0.99457,0.16713,0.18237,0.74965,0.0011684,0.0011684,0.0011684
44,354.039,0.21506,0.21405,0.78859,1,0.99619,0.995,0.99454,0.14793,0.16345,0.74665,0.0011486,0.0011486,0.0011486
45,361.584,0.19539,0.21014,0.78566,0.99991,0.99502,0.995,0.9943,0.15815,0.17482,0.74687,0.0011288,0.0011288,0.0011288
46,369.177,0.20997,0.20958,0.78681,0.9999,0.99502,0.995,0.99449,0.16393,0.18151,0.74818,0.001109,0.001109,0.001109
47,376.621,0.20687,0.20287,0.78536,0.99989,0.99502,0.995,0.99458,0.1491,0.1748,0.74839,0.0010892,0.0010892,0.0010892
48,384.604,0.21953,0.2097,0.78488,0.99989,0.99502,0.995,0.9942,0.18557,0.17121,0.75157,0.0010694,0.0010694,0.0010694
49,392.763,0.21405,0.20497,0.78275,0.99985,0.99502,0.995,0.99461,0.14125,0.16217,0.74606,0.0010496,0.0010496,0.0010496
50,399.858,0.19012,0.19719,0.78988,0.9998,0.99502,0.995,0.99456,0.13639,0.16686,0.74613,0.0010298,0.0010298,0.0010298
51,407.299,0.1939,0.20033,0.78174,0.99972,0.99502,0.995,0.99468,0.14295,0.17423,0.74812,0.00101,0.00101,0.00101
52,415.652,0.1788,0.19404,0.78367,0.99974,0.99502,0.995,0.99467,0.15206,0.1745,0.74887,0.0009902,0.0009902,0.0009902
53,423.756,0.18829,0.19304,0.79121,0.99966,0.99502,0.995,0.99471,0.13784,0.16675,0.74727,0.0009704,0.0009704,0.0009704
54,432.408,0.19031,0.1934,0.7873,0.9999,0.99502,0.995,0.99471,0.13837,0.14767,0.74825,0.0009506,0.0009506,0.0009506
55,441.047,0.19315,0.19026,0.7864,0.99992,0.99502,0.995,0.99462,0.14472,0.14724,0.74715,0.0009308,0.0009308,0.0009308
56,450.227,0.18579,0.18653,0.78875,0.9999,0.99502,0.995,0.99466,0.14209,0.14252,0.74659,0.000911,0.000911,0.000911
57,458.106,0.19734,0.19031,0.78456,0.99989,0.99502,0.995,0.99451,0.13063,0.14178,0.74485,0.0008912,0.0008912,0.0008912
58,466.539,0.19066,0.18323,0.7799,0.9999,0.99502,0.995,0.99464,0.14589,0.14767,0.7461,0.0008714,0.0008714,0.0008714
59,474.817,0.18655,0.18935,0.78171,0.9999,0.99502,0.995,0.99464,0.13466,0.14281,0.74583,0.0008516,0.0008516,0.0008516
